x	pi	mw	tpm
XP_010927794.1	8.364	29.71802	174.3051
XP_010906277.1	10.335	12.66168	75.97416
XP_010936965.1	9.871	32.01971	78.90116
XP_010937618.1	5.653	27.22014	107.845
XP_010905189.1	6.333	53.71095	104.1916
XP_010920764.1	8.159	7.13037	155.562
XP_019710925.1	6.707	91.15543	57.37794
XP_010913885.2	5.629	78.88113	216.999
XP_010910298.1	5.199	37.43583	85.37888
XP_010930505.1	4.644	33.41591	66.1074
XP_019710355.1	10.369	32.48503	620.1443
XP_010921573.1	11.242	31.45156	139.443
XP_010938671.1	5.962	12.14777	366.7367
XP_010909329.1	6.764	19.05993	88.21809
XP_010922617.1	8.732	45.68868	89.29071
XP_010917366.1	4.584	56.52539	81.45087
XP_010939445.1	8.198	25.17705	86.36195
XP_010937948.1	7.284	24.44358	394.422
XP_019708738.1	6.764	40.30706	85.75445
XP_010941393.1	8.295	8.56655	59.17339
XP_010917768.1	8.587	17.45788	86.38115
XP_010919988.1	8.825	66.2477	104.4141
XP_010904795.1	6.551	28.12592	50.8993
XP_010930888.1	9.033	26.60411	244.7044
XP_019708135.1	8.221	81.44194	116.8497
XP_010941636.1	5.945	20.98214	677.2519
XP_010905389.1	6.476	18.17609	106.6266
XP_010936806.1	4.499	40.58446	50.22997
XP_010905137.1	6.784	20.62163	73.1694
XP_010916707.1	10.267	10.86622	102.7434
XP_010921345.1	6.372	24.46921	59.01404
XP_010919739.1	6.487	40.97784	58.65811
XP_019709248.1	9.129	17.63674	101.179
XP_010922260.1	8.467	38.04941	326.6413
XP_010942754.1	4.302	46.79305	60.94732
XP_010916062.2	10.577	21.40918	141.6096
XP_010920862.1	7.712	81.87058	196.0994
XP_019707588.1	7.48	25.20914	354.9409
XP_010910973.2	5.274	44.36818	112.9481
XP_010907857.1	5.519	29.39152	141.2682
XP_010916839.1	10.005	72.53195	60.98813
XP_019711265.1	6.005	40.28889	77.65087
XP_010905724.1	10.468	15.52323	99.16514
XP_010926916.1	7.365	38.0183	98.55075
XP_010934663.1	6.233	80.8779	54.20196
XP_010919185.1	5.629	41.78359	62.2723
XP_010914273.1	6.772	15.15042	72.65302
XP_010932756.1	10.941	17.6075	138.6229
XP_010928933.1	9.13	25.32541	346.6253
XP_010930462.1	10.264	17.94106	50.37257
XP_010906706.1	11.176	23.81401	167.0327
XP_010921021.1	9.962	22.17873	202.5566
XP_010913179.1	3.732	15.43346	327.074
XP_010940473.2	6.076	49.29056	191.0201
XP_010943848.1	5.961	63.55458	96.3239
XP_010922013.1	7.604	29.20398	104.1229
XP_010928862.1	4.639	10.77635	122.187
XP_010932434.1	8.882	21.34185	135.9475
XP_010923500.1	7.878	40.93848	104.3659
XP_010939000.1	3.832	10.22944	138.0232
XP_010905496.1	6.175	54.48644	71.86415
XP_010911700.1	5.89	24.34477	161.5565
XP_010930062.1	8.5	33.44459	179.8971
XP_010916348.1	6.633	61.79234	158.3497
XP_010927253.1	6.411	34.80878	83.15484
XP_010935495.1	9.776	23.76497	418.3171
XP_010921509.1	6.947	17.6655	343.7425
XP_010914235.1	9.151	45.50794	69.88554
XP_010942248.1	5.859	49.82737	52.74707
XP_010931939.1	8.801	63.53287	50.80284
XP_010927178.1	8.931	59.72826	443.3436
XP_010925770.1	8.789	13.16758	83.89717
XP_010920693.1	4.447	19.61145	59.976
XP_019710687.1	5.346	55.09132	228.2942
XP_010924668.1	11.027	15.6024	197.3024
XP_019704954.1	10.134	6.38642	197.446
XP_010904733.1	10.533	33.54728	53.99513
XP_010909337.1	4.577	24.08575	59.42483
XP_010905085.1	8.937	24.0032	57.04032
XP_010916666.1	7.746	42.47022	165.1247
XP_010937159.1	8.531	43.34811	147.9859
XP_010915382.1	7.944	53.04862	192.6871
XP_010929410.1	6.967	24.57936	275.0399
XP_010929534.1	4.659	41.97462	73.04535
XP_010925602.1	8.638	13.56251	135.2497
XP_010923146.1	4.785	17.81476	467.6557
XP_010935120.1	5.703	29.52297	83.48893
XP_010910081.1	9.535	5.3372	56.68185
XP_010919010.1	10.297	16.12373	105.8659
XP_010928978.2	8.761	44.8609	116.491
XP_010930979.1	6.407	51.06228	136.0515
XP_010925300.1	6.689	46.0844	102.3818
XP_010942124.1	6.729	16.78614	62.41294
XP_010909580.1	9.346	10.57048	106.4113
XP_010937855.1	7.354	72.25396	57.7318
XP_010921816.1	7.275	27.60759	88.78207
XP_010913884.2	5.629	78.73901	252.3373
XP_010905176.1	7.58	17.32967	728.4115
XP_010941239.1	9.294	17.73789	111.6792
XP_010934253.1	8.535	46.47219	60.67493
XP_010910521.1	10.759	16.50309	124.7446
XP_010908485.2	10.444	51.29022	257.3417
XP_010919963.1	9.77	23.52524	117.5649
XP_010906069.1	7.173	64.65406	170.97
XP_010931116.1	10.223	14.67328	560.8132
XP_010914985.1	7.316	35.89573	104.8293
XP_010923834.1	6.219	9.21769	257.6622
XP_010921437.1	11.851	20.82321	216.0295
XP_010923803.1	5.478	25.74193	418.8161
XP_010921871.1	5.288	18.72356	68.17693
XP_010917602.1	7.539	26.79072	74.8313
XP_010907967.1	5.366	26.47852	60.51689
XP_019703542.1	9.794	8.24326	72.21224
XP_019705281.1	4.79	20.57143	56.17504
XP_019709404.1	5.246	26.28145	50.2995
XP_010940464.1	4.633	50.11639	168.4506
XP_010909231.1	8.148	17.94209	50.26633
XP_010940886.1	9.035	31.99874	82.31041
XP_010924048.1	9.427	33.12764	71.9735
XP_010937851.1	5.055	26.96011	105.0315
XP_010943137.1	4.689	39.78212	89.95354
XP_010938392.1	11.373	33.97651	142.4509
XP_010910835.1	9.353	24.87569	263.7954
XP_010935681.1	7.202	37.11234	65.88985
XP_010937054.1	6.148	79.74456	54.09263
XP_010940803.1	5.381	10.11938	766.8135
XP_010916457.1	6.16	46.46227	89.58963
XP_010920046.1	8.959	18.3286	230.9837
XP_010916177.1	7.599	67.01061	92.7833
XP_010922339.1	5.13	42.98468	142.4855
XP_010936276.1	4.832	67.36683	184.8003
XP_010923627.1	11.023	27.91327	163.7082
XP_010940636.1	9.978	21.20494	226.6743
XP_010924396.1	9.095	18.55179	168.6609
XP_010913164.1	8.882	29.98367	220.4646
XP_010935755.1	9.951	15.11595	140.412
XP_010928455.1	10.516	26.09272	2444.17
XP_010923922.1	6.827	29.61587	57.2108
XP_010910896.1	10.093	22.25895	169.6455
XP_010916473.1	10.986	17.02874	101.8674
XP_010943242.2	5.165	34.93993	81.64707
XP_010919087.1	4.964	18.36175	174.3001
XP_010923568.1	5.68	17.37063	1532.452
XP_010920122.1	9.505	21.89039	86.65302
XP_010936229.1	6.88	13.88618	120.5668
XP_019703284.1	9.693	16.50133	50.58072
XP_010935438.1	5.599	18.05476	76.4867
XP_010916687.1	9.182	22.61338	54.48133
XP_010918024.1	7.021	55.45455	93.164
XP_010912118.1	4.377	22.51009	50.20175
XP_010906402.1	8.988	42.80921	190.4531
XP_010933559.1	6.271	44.33377	172.4156
XP_010940545.1	8.129	36.61236	70.06805
XP_010932432.1	9.708	26.31573	901.3022
XP_010916678.1	9.684	23.39405	158.9811
XP_010918470.1	6.85	31.24579	159.4799
XP_010938988.1	10.091	29.89473	90.58477
XP_010939095.1	10.845	15.79177	292.2415
XP_010940089.1	5.44	20.39249	50.01489
XP_010934914.1	5.754	40.04042	999.3787
XP_010933297.1	8.671	46.73194	101.2198
